# y+ ()       
# Time        	patch         	min           	max           	average       
0.00752       	carMirror	1.356023e-01	2.367672e+02	2.810516e+01
0.0076        	back	4.136314e+00	2.446873e+03	1.354097e+02
0.0076        	carMirror	1.012178e-01	2.140941e+02	2.812588e+01
0.00768       	back	4.051522e+00	2.722923e+03	1.346062e+02
0.00768       	carMirror	7.918150e-02	2.071935e+02	2.816114e+01
0.00776       	back	3.941556e+00	2.964778e+03	1.338585e+02
0.00776       	carMirror	7.334882e-02	2.069511e+02	2.821726e+01
0.00784       	back	3.996221e+00	3.159283e+03	1.332590e+02
0.00784       	carMirror	7.002849e-02	2.074206e+02	2.828478e+01
0.00792       	back	2.135012e+00	3.288600e+03	1.328538e+02
0.00792       	carMirror	7.599389e-02	2.079291e+02	2.836177e+01
0.008         	back	4.592532e+00	3.343412e+03	1.326952e+02
0.008         	carMirror	7.045158e-02	2.079400e+02	2.845126e+01
0.00808       	back	5.038097e+00	3.350558e+03	1.327534e+02
0.00808       	carMirror	6.004288e-02	2.084958e+02	2.854424e+01
0.00816       	back	5.155804e+00	3.315165e+03	1.329550e+02
0.00816       	carMirror	5.259051e-02	2.200742e+02	2.862584e+01
0.00824       	back	4.770352e+00	3.244482e+03	1.332622e+02
0.00824       	carMirror	4.779015e-02	2.316306e+02	2.869858e+01
0.00832       	back	4.145811e+00	3.150098e+03	1.337295e+02
0.00832       	carMirror	4.481311e-02	2.429512e+02	2.875603e+01
0.0084        	back	3.537830e+00	3.042710e+03	1.342864e+02
0.0084        	carMirror	4.452665e-02	2.507170e+02	2.879798e+01
0.00848       	back	3.906441e+00	2.931579e+03	1.348493e+02
0.00848       	carMirror	4.426753e-02	2.396851e+02	2.883088e+01
0.00856       	back	3.442616e+00	2.823313e+03	1.353210e+02
0.00856       	carMirror	4.760671e-02	2.247850e+02	2.884862e+01
0.00864       	back	2.821023e+00	2.716705e+03	1.357002e+02
0.00864       	carMirror	5.483847e-02	2.072272e+02	2.884800e+01
0.00872       	back	2.375925e+00	2.605570e+03	1.359906e+02
0.00872       	carMirror	6.660356e-02	2.069901e+02	2.884555e+01
0.0088        	back	2.325622e+00	2.488403e+03	1.362407e+02
0.0088        	carMirror	7.711089e-02	2.065910e+02	2.884036e+01
0.00888       	back	2.460318e+00	2.368750e+03	1.364706e+02
0.00888       	carMirror	8.861843e-02	2.062890e+02	2.882021e+01
0.00896       	back	2.797680e+00	2.249245e+03	1.366541e+02
0.00896       	carMirror	1.073598e-01	2.196799e+02	2.878306e+01
0.00904       	back	2.946978e+00	2.131584e+03	1.368838e+02
0.00904       	carMirror	1.267002e-01	2.343381e+02	2.871626e+01
0.00912       	back	3.112983e+00	2.015306e+03	1.371602e+02
0.00912       	carMirror	9.789971e-02	2.339893e+02	2.864059e+01
0.0092        	back	3.396636e+00	1.901699e+03	1.373319e+02
0.0092        	carMirror	7.099839e-02	2.268112e+02	2.854427e+01
0.00928       	back	3.007993e+00	1.814464e+03	1.373321e+02
0.00928       	carMirror	4.987499e-02	2.187430e+02	2.843879e+01
0.00936       	back	2.720155e+00	1.870482e+03	1.371613e+02
0.00936       	carMirror	4.013624e-02	2.062783e+02	2.836288e+01
0.00944       	back	2.679345e+00	1.911601e+03	1.367971e+02
0.00944       	carMirror	4.707432e-02	2.138631e+02	2.831913e+01
0.00952       	back	2.705593e+00	1.939510e+03	1.363734e+02
0.00952       	carMirror	5.453610e-02	2.240253e+02	2.831510e+01
